fractalpar,width,frames,threads,segs,speedup,efficiency
2,512,128,32,1.7612,24.3207,76.00%
2,512,256,1,90.5169,,
2,512,256,2,47.0871,1.9223,96.12%
2,512,256,4,24.1765,3.7440,93.60%
2,512,256,8,12.8055,7.0686,88.36%
2,512,256,16,6.4808,13.9668,87.29%
2,512,256,32,3.8578,23.4632,73.32%
2,512,384,1,149.3656,,
2,512,384,2,75.9569,1.9665,98.32%
2,512,384,4,38.9774,3.8321,95.80%
2,512,384,8,20.5025,7.2853,91.07%
2,512,384,16,10.3855,14.3821,89.89%
2,512,384,32,6.1339,24.3507,76.10%
2,1024,32,1,41.0012,,
2,1024,32,2,21.2372,1.9306,96.53%
2,1024,32,4,10.8430,3.7814,94.53%
2,1024,32,8,5.6549,7.2505,90.63%
2,1024,32,16,2.8964,14.1557,88.47%
2,1024,32,32,1.6042,25.5580,79.87%
2,1024,64,1,79.0922,,
2,1024,64,2,39.8436,1.9851,99.25%
2,1024,64,4,20.2959,3.8970,97.42%
2,1024,64,8,10.6366,7.4359,92.95%
2,1024,64,16,5.5120,14.3492,89.68%
2,1024,64,32,3.0015,26.3505,82.35%
2,1024,128,1,172.5468,,
2,1024,128,2,87.3514,1.9753,98.77%
2,1024,128,4,44.6584,3.8637,96.59%
2,1024,128,8,23.6400,7.2989,91.24%
2,1024,128,16,12.0013,14.3773,89.86%
2,1024,128,32,6.6241,26.0482,81.40%
2,1024,256,1,370.8172,,
2,1024,256,2,184.6691,2.0080,100.40%
2,1024,256,4,95.3711,3.8881,97.20%
2,1024,256,8,50.8982,7.2855,91.07%
2,1024,256,16,26.3209,14.0883,88.05%
2,1024,256,32,14.8325,25.0002,78.13%
2,1024,384,1,594.3360,,
2,1024,384,2,297.7015,1.9964,99.82%
2,1024,384,4,153.4397,3.8734,96.84%
2,1024,384,8,82.8998,7.1693,89.62%
2,1024,384,16,42.4864,13.9889,87.43%
2,1024,384,32,23.7165,25.0600,78.31%
2,2048,32,1,163.1400,,
2,2048,32,2,80.8667,2.0174,100.87%
2,2048,32,4,41.8862,3.8948,97.37%
2,2048,32,8,22.4192,7.2768,90.96%
2,2048,32,16,11.4918,14.1962,88.73%
2,2048,32,32,5.8037,28.1097,87.84%
2,2048,64,1,309.3514,,
2,2048,64,2,158.3544,1.9535,97.68%
2,2048,64,4,81.2273,3.8085,95.21%
2,2048,64,8,42.7099,7.2431,90.54%
2,2048,64,16,21.9355,14.1027,88.14%
2,2048,64,32,11.5893,26.6929,83.42%
2,2048,128,1,679.7192,,
2,2048,128,2,344.7152,1.9718,98.59%
2,2048,128,4,175.6997,3.8686,96.72%
2,2048,128,8,94.3166,7.2068,90.08%
2,2048,128,16,48.4765,14.0216,87.64%
2,2048,128,32,25.3737,26.7884,83.71%
2,2048,256,1,1471.1162,,
2,2048,256,2,750.4578,1.9603,98.01%
2,2048,256,4,383.5163,3.8359,95.90%
2,2048,256,8,202.7977,7.2541,90.68%
2,2048,256,16,103.4163,14.2252,88.91%
2,2048,256,32,54.4214,27.0320,84.47%
2,2048,384,1,2413.7174,,
2,2048,384,2,1214.8666,1.9868,99.34%
2,2048,384,4,624.3399,3.8660,96.65%
2,2048,384,8,329.2729,7.3304,91.63%
2,2048,384,16,167.3842,14.4202,90.13%
2,2048,384,32,87.9374,27.4481,85.78%
