fractalpar,width,frames,threads,segs,speedup,efficiency
2,128,32,1,0.6807,,
2,128,32,2,0.3681,1.8491,92.45%
2,128,32,4,0.1935,3.5172,87.93%
2,128,32,8,0.1068,6.3736,79.67%
2,128,32,16,0.0604,11.2778,70.49%
2,128,32,32,0.0936,7.2731,22.73%
2,128,64,1,1.2568,,
2,128,64,2,0.6543,1.9208,96.04%
2,128,64,4,0.3525,3.5650,89.13%
2,128,64,8,0.1923,6.5348,81.69%
2,128,64,16,0.1100,11.4298,71.44%
2,128,64,32,0.0852,14.7554,46.11%
2,128,128,1,2.7310,,
2,128,128,2,1.3974,1.9544,97.72%
2,128,128,4,0.7518,3.6328,90.82%
2,128,128,8,0.4061,6.7251,84.06%
2,128,128,16,0.2272,12.0204,75.13%
2,128,128,32,0.3587,7.6143,23.79%
2,128,256,1,5.7478,,
2,128,256,2,2.9385,1.9561,97.80%
2,128,256,4,1.5519,3.7036,92.59%
2,128,256,8,0.8348,6.8856,86.07%
2,128,256,16,0.4436,12.9562,80.98%
2,128,256,32,0.6622,8.6803,27.13%
2,128,384,1,9.2288,,
2,128,384,2,4.7601,1.9388,96.94%
2,128,384,4,2.5793,3.5780,89.45%
2,128,384,8,1.3456,6.8588,85.73%
2,128,384,16,0.7432,12.4181,77.61%
2,128,384,32,0.5747,16.0598,50.19%
2,256,32,1,2.5639,,
2,256,32,2,1.3298,1.9280,96.40%
2,256,32,4,0.7056,3.6337,90.84%
2,256,32,8,0.3771,6.7983,84.98%
2,256,32,16,0.2072,12.3717,77.32%
2,256,32,32,0.1498,17.1145,53.48%
2,256,64,1,4.9386,,
2,256,64,2,2.5011,1.9745,98.73%
2,256,64,4,1.3068,3.7792,94.48%
2,256,64,8,0.6972,7.0837,88.55%
2,256,64,16,0.3809,12.9649,81.03%
2,256,64,32,0.3870,12.7622,39.88%
2,256,128,1,10.8352,,
2,256,128,2,5.5317,1.9588,97.94%
2,256,128,4,2.8515,3.7998,95.00%
2,256,128,8,1.5144,7.1549,89.44%
2,256,128,16,0.7854,13.7965,86.23%
2,256,128,32,0.5102,21.2382,66.37%
2,256,256,1,22.6464,,
2,256,256,2,11.7458,1.9280,96.40%
2,256,256,4,6.0365,3.7516,93.79%
2,256,256,8,3.1477,7.1947,89.93%
2,256,256,16,1.6623,13.6239,85.15%
2,256,256,32,1.0575,21.4155,66.92%
2,256,384,1,37.4399,,
2,256,384,2,18.8024,1.9912,99.56%
2,256,384,4,9.7411,3.8435,96.09%
2,256,384,8,5.1762,7.2331,90.41%
2,256,384,16,2.6948,13.8933,86.83%
2,256,384,32,2.2926,16.3304,51.03%
2,512,32,1,10.2136,,
2,512,32,2,5.3010,1.9268,96.34%
2,512,32,4,2.6892,3.7980,94.95%
2,512,32,8,1.3992,7.2998,91.25%
2,512,32,16,0.7394,13.8128,86.33%
2,512,32,32,0.4883,20.9162,65.36%
2,512,64,1,19.5594,,
2,512,64,2,10.1026,1.9361,96.80%
2,512,64,4,5.1590,3.7913,94.78%
2,512,64,8,2.7477,7.1185,88.98%
2,512,64,16,1.3894,14.0774,87.98%
2,512,64,32,0.8152,23.9944,74.98%
2,512,128,1,42.8347,,
2,512,128,2,21.9297,1.9533,97.66%
2,512,128,4,11.0744,3.8679,96.70%
2,512,128,8,5.9167,7.2397,90.50%
2,512,128,16,3.0553,14.0199,87.62%
